Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,POS
Logan Thomas (SF),55.0,78.0,496,9.0,29.0,3.0,4.0,1.0,2.0,0.0,2.0,16.0,TE
Isaiah Likely (BAL),30.0,40.0,411,13.7,54.0,6.0,5.0,0.0,0.0,0.0,0.0,17.0,TE
Cade Otton (TB),47.0,67.0,455,9.7,27.0,6.0,4.0,0.0,0.0,0.0,1.0,17.0,TE
Tyler Conklin (NYJ),61.0,87.0,621,10.2,37.0,7.0,0.0,1.0,0.0,0.0,0.0,17.0,TE
Tyler Higbee (LAR),47.0,70.0,495,10.5,33.0,6.0,2.0,0.0,0.0,0.0,0.0,15.0,TE
Darren Waller (FA),52.0,74.0,552,10.6,29.0,8.0,1.0,0.0,0.0,0.0,0.0,12.0,TE
Juwan Johnson (NO),37.0,59.0,368,9.9,32.0,7.0,4.0,0.0,0.0,0.0,0.0,13.0,TE
Gerald Everett (CHI),51.0,70.0,411,8.1,31.0,4.0,3.0,3.0,10.0,0.0,0.0,15.0,TE
Chigoziem Okonkwo (TEN),54.0,77.0,528,9.8,39.0,6.0,1.0,2.0,6.0,0.0,0.0,17.0,TE
Donald Parham Jr. (LAC),27.0,41.0,285,10.6,24.0,2.0,4.0,0.0,0.0,0.0,0.0,14.0,TE
Tucker Kraft (GB),31.0,40.0,355,11.5,43.0,5.0,2.0,0.0,0.0,0.0,0.0,17.0,TE
Pat Freiermuth (PIT),32.0,47.0,308,9.6,29.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,TE
Michael Mayer (LV),27.0,40.0,304,11.3,32.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,TE
Kylen Granson (IND),30.0,50.0,368,12.3,46.0,5.0,1.0,1.0,2.0,0.0,0.0,15.0,TE
Noah Gray (KC),28.0,41.0,305,10.9,34.0,4.0,2.0,1.0,1.0,0.0,0.0,17.0,TE
Noah Fant (SEA),32.0,43.0,414,12.9,51.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Luke Musgrave (GB),34.0,46.0,352,10.4,37.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,TE
Tanner Hudson (CIN),39.0,50.0,352,9.0,26.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,TE
Adam Trautman (DEN),22.0,35.0,204,9.3,24.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,TE
Tommy Tremble (CAR),23.0,32.0,194,8.4,30.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,TE
Colby Parkinson (LAR),25.0,34.0,247,9.9,27.0,5.0,2.0,0.0,0.0,0.0,0.0,17.0,TE
Durham Smythe (MIA),35.0,43.0,366,10.5,22.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,TE
Mike Gesicki (CIN),29.0,45.0,244,8.4,18.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,TE
Mo Alie-Cox (IND),13.0,22.0,161,12.4,35.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,TE
Brevin Jordan (HOU),17.0,21.0,219,12.9,27.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,TE
Dawson Knox (BUF),22.0,36.0,186,8.5,17.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,TE
Josh Oliver (MIN),22.0,28.0,213,9.7,33.0,3.0,2.0,0.0,0.0,0.0,1.0,17.0,TE
Drew Sample (CIN),22.0,27.0,163,7.4,22.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,TE
Jimmy Graham (FA),6.0,7.0,39,6.5,12.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,TE
Andrew Beck (HOU),11.0,13.0,55,5.0,26.0,1.0,2.0,5.0,3.0,1.0,1.0,15.0,TE
Drew Ogletree (IND),9.0,21.0,147,16.3,33.0,4.0,2.0,0.0,0.0,0.0,0.0,12.0,TE
Daniel Bellinger (NYG),25.0,28.0,255,10.2,26.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Foster Moreau (NO),21.0,25.0,193,9.2,23.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,TE
Harrison Bryant (LV),13.0,20.0,81,6.2,23.0,1.0,3.0,5.0,8.0,0.0,1.0,17.0,TE
Pharaoh Brown (SEA),13.0,15.0,208,16.0,58.0,5.0,1.0,0.0,0.0,0.0,1.0,17.0,TE
Zach Ertz (WAS),27.0,43.0,187,6.9,17.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,TE
Hayden Hurst (LAC),18.0,32.0,184,10.2,48.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,TE
Austin Hooper (NE),25.0,31.0,234,9.4,21.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Will Dissly (LAC),17.0,22.0,172,10.1,21.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,TE
Johnny Mundt (MIN),17.0,23.0,172,10.1,32.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,TE
Elijah Higgins (ARI),14.0,19.0,163,11.6,26.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,TE
Stone Smartt (LAC),11.0,21.0,155,14.1,51.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,TE
Will Mallory (IND),18.0,26.0,207,11.5,43.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,TE
Luke Schoonmaker (DAL),8.0,15.0,65,8.1,18.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,TE
MyCole Pruitt (PIT),9.0,12.0,110,12.2,22.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,TE
Connor Heyward (PIT),23.0,34.0,167,7.3,13.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,TE
Lucas Krull (DEN),8.0,14.0,95,11.9,35.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,TE
Davis Allen (LAR),10.0,11.0,95,9.5,21.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,TE
Irv Smith Jr. (KC),18.0,26.0,115,6.4,14.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,TE
Luke Farrell (JAC),13.0,15.0,155,11.9,42.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Josh Whyle (TEN),9.0,15.0,94,10.4,24.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,TE
Jeremy Ruckert (NYJ),16.0,22.0,151,9.4,23.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,TE
Brock Wright (DET),13.0,14.0,91,7.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,TE
John Bates (WAS),19.0,28.0,151,7.9,35.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Charlie Kolar (BAL),7.0,9.0,87,12.4,19.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,TE
Jordan Akins (CLE),15.0,23.0,132,8.8,28.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Stephen Sullivan (CAR),12.0,24.0,125,10.4,20.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,TE
Cole Turner (WAS),11.0,15.0,120,10.9,29.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,TE
C.J. Uzomah (PHI),8.0,12.0,58,7.3,19.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,TE
Robert Tonyan (MIN),11.0,17.0,112,10.2,24.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Brenton Strange (JAC),5.0,9.0,35,7.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,TE
Geoff Swaim (FA),10.0,11.0,94,9.4,26.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,TE
Marcedes Lewis (CHI),4.0,5.0,29,7.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,TE
Quintin Morris (BUF),2.0,3.0,26,13.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,TE
Ben Sims (GB),4.0,6.0,21,5.3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,TE
Brycen Hopkins (FA),5.0,7.0,78,15.6,29.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,TE
Blake Bell (FA),5.0,9.0,26,5.2,8.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,TE
Josiah Deguara (JAC),8.0,8.0,65,8.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,TE
Ko Kieft (TB),1.0,5.0,2,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,TE
Darnell Washington (PIT),7.0,10.0,61,8.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Payne Durham (TB),5.0,7.0,58,11.6,25.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,TE
Ian Thomas (CAR),5.0,9.0,56,11.2,28.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,TE
Mitchell Wilcox (NE),9.0,12.0,56,6.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Grant Calcaterra (PHI),4.0,4.0,39,9.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,TE
Jack Stoll (NYG),5.0,8.0,38,7.6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Peyton Hendershot (DAL),4.0,7.0,38,9.5,24.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,TE
Teagan Quitoriano (HOU),2.0,3.0,33,16.5,22.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,TE
Charlie Woerner (ATL),3.0,3.0,32,10.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,TE
Julian Hill (MIA),6.0,9.0,48,8.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,TE
James Mitchell (DET),2.0,2.0,28,14.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,TE
Kenny Yeboah (NYJ),2.0,4.0,28,14.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,TE
Greg Dulcich (DEN),3.0,4.0,25,8.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Nate Adkins (DEN),4.0,5.0,22,5.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,TE
Nick Muse (MIN),1.0,1.0,22,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Trevon Wesco (FA),1.0,3.0,21,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,TE
Chris Manhertz (NYG),2.0,4.0,16,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,TE
Eric Saubert (SF),3.0,3.0,12,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,TE
Ross Dwelley (ATL),1.0,2.0,12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,TE
John FitzPatrick (ATL),1.0,1.0,12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,TE
Tucker Fisk (FA),1.0,1.0,9,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE
Cole Fotheringham (LV),1.0,1.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Kevin Rader (FA),1.0,3.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,TE
Jesper Horsted (NO),1.0,1.0,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TE
Nick Vannett (TEN),1.0,1.0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,TE
Giovanni Ricci (CLE),1.0,1.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE
Matt Sokol (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE
Matt Orzech (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Parker Hesse (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
Mitchell Fraboni (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE
Tommy Sweeney (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyree Jackson (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Zach Gentry (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Stephen Carlson (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jody Fortson Jr. (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dalton Keene (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Noah Togiai (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Lawrence Cager (NYG),4.0,5.0,36,9.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,TE
Tyler Mabry (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Sean McKeon (DET),0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,TE
Tyler Davis (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Scotty Washington (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tommy Hudson (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cade Stover (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zack Kuntz (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Brayden Willis (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,TE
Derek Parish (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Joel Wilson (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Whiteheart (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Henry Pearson (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Patrick Murtagh (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brady Russell (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,TE
E.J. Jenkins (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Vokolek (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Thomas Odukoya (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tanner Taula (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rodney Williams (PIT),0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,TE
Chris Pierce Jr. (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Leroy Watson IV (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE
Dallin Holker (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jaheim Bell (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kehinde Oginni Hassan (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jake Tonges (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zaire Mitchell-Paden (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alec Holler (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tip Reiman (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jacob Warren (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Westover (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brenden Bates (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Messiah Swinson (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Devin Culp (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Benson (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Colson Yankoff (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Steven Stilianos (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Treyton Welch (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mason Pline (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Thomas Yassmin (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Johnson (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trent Pennix (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kevin Foelsch (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Shawn Bowman (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lincoln Sefcik (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mike Rigerman (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Riley Sharp (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Martin-Robinson (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cam Grandy (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
John Samuel Shenker (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Murray (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Princeton Fant (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
John Stephens Jr. (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Izaiah Gathings (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brevyn Spann-Ford (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Heins (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
McCallan Castles (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tanner McLachlan (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Wiley (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
AJ Barner (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Sinnott (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
La'Michael Pettway (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt Bushman (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Trey Knox (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brock Bowers (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Stogner (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Theo Johnson (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Baylor Cupp (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Miller Forristall (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tre' McKitty (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE
Hunter Long (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
Albert Okwuegbunam Jr. (PHI),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE
Sammis Reyes (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Latu (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Erick All Jr. (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nikola Kalinic (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tanner Conner (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
Armani Rogers (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ja'Tavion Sanders (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jelani Woods (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jacob Harris (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Josh Pederson (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Ben Mason (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Hunter Kampmoyer (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Zach Davidson (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Bernhard Seikovits (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Michael Jacobson (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Shane Zylstra (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dominique Curry (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Drake Dunsmore (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Matthews (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Fine (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
J.P. Foschi (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darnell Dinkins (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brad Cottam (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Joey Haynos (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James Dearth (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Marquez Branson (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Keith Zinger (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Justin Snow (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
N'Keal Harry (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,TE
Anthony Firkser (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Darrell Daniels (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
J.P. Holtz (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Zach Wood (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE
Jordan Thomas (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Tyler Kroft (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE
Patrick Scales (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
James Winchester (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Tyler Ott (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
Stephen Anderson (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
Andrew DePaola (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE
Eric Tomlinson (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hayden Rucci (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Wells (TB),2.0,2.0,-10,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TE
,,,,,,,,,,,,,TE
,,,,,,,,,,,,,TE
