Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Trey Palmer (TB),2.0,2.0,100.0%,8.0,4.0,2.0,5.1%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Andrei Iosivas (CIN),2.0,3.0,66.7%,5.0,2.5,2.0,5.8%,0.0,0.0,0.0,0%,0.0,16.0,WR
Tutu Atwell (LAR),2.0,4.0,50.0%,4.0,2.0,2.0,8.0%,1.0,0.0,0.0,20.0%,0.0,16.0,WR
Jameson Williams (DET),3.0,4.0,75.0%,27.0,9.0,0.0,8.9%,1.0,19.0,1.0,33.3%,0.0,12.0,WR
Jerry Jeudy (CLE),8.0,11.0,72.7%,41.0,5.1,1.0,28.2%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Xavier Gipson (NYJ),4.0,5.0,80.0%,11.0,2.8,0.0,14.3%,2.0,23.0,1.0,100.0%,0.0,17.0,WR
Josh Downs (IND),5.0,10.0,50.0%,32.0,6.4,1.0,26.3%,0.0,0.0,0.0,0%,0.0,17.0,WR
Deven Thompkins (FA),2.0,4.0,50.0%,10.0,5.0,1.0,10.3%,3.0,21.0,0.0,75.0%,0.0,17.0,WR
Terry McLaurin (WAS),5.0,10.0,50.0%,31.0,6.2,1.0,25.6%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Odell Beckham Jr. (MIA),5.0,11.0,45.5%,30.0,6.0,1.0,29.7%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Ihmir Smith-Marsette (CAR),0.0,0.0,0%,0.0,0.0,0.0,0.0%,2.0,29.0,1.0,28.6%,0.0,17.0,WR
Braxton Berrios (MIA),2.0,2.0,100.0%,29.0,14.5,1.0,4.4%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Rashid Shaheed (NO),2.0,6.0,33.3%,28.0,14.0,1.0,18.8%,0.0,0.0,0.0,0%,0.0,16.0,WR
Randall Cobb (FA),2.0,3.0,66.7%,27.0,13.5,1.0,8.6%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Jalen Guyton (LV),2.0,4.0,50.0%,26.0,13.0,1.0,10.0%,0.0,0.0,0.0,0.0%,0.0,8.0,WR
Justin Jefferson (MIN),4.0,11.0,36.4%,25.0,6.3,1.0,23.4%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
