Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,POS
Irv Smith Jr. (KC),12.0,18.0,115,6.4,49.0,2.7,105,5.8,66.0,3.7,20.0,1.1,0.0,26.0,4.4%,21.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,14.0,TE
Luke Farrell (JAC),17.0,13.0,155,11.9,59.0,4.5,71,5.5,96.0,7.4,11.0,0.8,1.0,15.0,2.5%,13.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,42.0,TE
Davis Allen (LAR),15.0,10.0,95,9.5,21.0,2.1,24,2.4,74.0,7.4,7.0,0.7,0.0,11.0,2.0%,11.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,21.0,TE
Josh Whyle (TEN),11.0,9.0,94,10.4,54.0,6.0,147,16.3,40.0,4.4,15.0,1.7,1.0,15.0,3.1%,10.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,24.0,TE
Brock Wright (DET),14.0,13.0,91,7.0,42.0,3.2,40,3.1,49.0,3.8,12.0,0.9,0.0,14.0,2.4%,13.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,TE
Jeremy Ruckert (NYJ),15.0,16.0,151,9.4,100.0,6.3,139,8.7,51.0,3.2,14.0,0.9,0.0,22.0,3.9%,17.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,23.0,TE
John Bates (WAS),17.0,19.0,151,7.9,86.0,4.5,175,9.2,65.0,3.4,26.0,1.4,1.0,28.0,4.7%,22.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,35.0,TE
Charlie Kolar (BAL),14.0,7.0,87,12.4,70.0,10.0,88,12.6,17.0,2.4,0.0,0.0,0.0,9.0,1.9%,9.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,19.0,TE
Jordan Akins (CLE),17.0,15.0,132,8.8,74.0,4.9,109,7.3,58.0,3.9,21.0,1.4,3.0,23.0,3.9%,17.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,28.0,TE
Stephen Sullivan (CAR),11.0,12.0,125,10.4,117.0,9.8,255,21.3,8.0,0.7,1.0,0.1,0.0,24.0,4.5%,13.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,20.0,TE
Cole Turner (WAS),12.0,11.0,120,10.9,70.0,6.4,105,9.5,50.0,4.5,19.0,1.7,0.0,15.0,2.5%,12.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,29.0,TE
C.J. Uzomah (PHI),12.0,8.0,58,7.3,25.0,3.1,64,8.0,33.0,4.1,21.0,2.6,2.0,12.0,2.1%,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,19.0,TE
Robert Tonyan (MIN),17.0,11.0,112,10.2,55.0,5.0,145,13.2,57.0,5.2,12.0,1.1,1.0,17.0,3.6%,13.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,24.0,TE
Brenton Strange (JAC),14.0,5.0,35,7.0,7.0,1.4,68,13.6,28.0,5.6,3.0,0.6,0.0,9.0,1.5%,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,TE
Geoff Swaim (FA),14.0,10.0,94,9.4,64.0,6.4,60,6.0,30.0,3.0,9.0,0.9,0.0,11.0,2.0%,10.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,26.0,TE
Marcedes Lewis (CHI),17.0,4.0,29,7.3,0.0,0.0,9,2.3,29.0,7.3,3.0,0.8,0.0,5.0,1.0%,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,TE
Ben Sims (GB),16.0,4.0,21,5.3,3.0,0.8,30,7.5,18.0,4.5,12.0,3.0,0.0,6.0,1.1%,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,TE
Brycen Hopkins (FA),15.0,5.0,78,15.6,46.0,9.2,66,13.2,32.0,6.4,13.0,2.6,0.0,7.0,1.3%,5.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,29.0,TE
Blake Bell (FA),17.0,5.0,26,5.2,7.0,1.4,30,6.0,19.0,3.8,5.0,1.0,0.0,9.0,1.5%,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,TE
Josiah Deguara (JAC),15.0,8.0,65,8.1,26.0,3.3,26,3.3,39.0,4.9,10.0,1.3,0.0,8.0,1.4%,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,TE
Ko Kieft (TB),16.0,1.0,2,2.0,0.0,0.0,61,61.0,2.0,2.0,1.0,1.0,0.0,5.0,0.9%,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,TE
Darnell Washington (PIT),17.0,7.0,61,8.7,11.0,1.6,11,1.6,50.0,7.1,21.0,3.0,1.0,10.0,2.1%,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,TE
Payne Durham (TB),13.0,5.0,58,11.6,46.0,9.2,73,14.6,12.0,2.4,0.0,0.0,0.0,7.0,1.3%,7.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,25.0,TE
Ian Thomas (CAR),12.0,5.0,56,11.2,23.0,4.6,78,15.6,33.0,6.6,15.0,3.0,1.0,9.0,1.7%,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,TE
Mitchell Wilcox (NE),17.0,9.0,56,6.2,8.0,0.9,12,1.3,48.0,5.3,9.0,1.0,0.0,12.0,2.0%,10.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,TE
Grant Calcaterra (PHI),14.0,4.0,39,9.8,7.0,1.8,7,1.8,32.0,8.0,14.0,3.5,1.0,4.0,0.8%,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,TE
Jack Stoll (NYG),17.0,5.0,38,7.6,13.0,2.6,25,5.0,25.0,5.0,11.0,2.2,1.0,8.0,1.5%,6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,TE
Peyton Hendershot (DAL),8.0,4.0,38,9.5,9.0,2.3,26,6.5,29.0,7.3,7.0,1.8,0.0,7.0,1.2%,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,24.0,TE
Charlie Woerner (ATL),17.0,3.0,32,10.7,12.0,4.0,12,4.0,20.0,6.7,9.0,3.0,0.0,3.0,0.6%,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,TE
Julian Hill (MIA),15.0,6.0,48,8.0,18.0,3.0,29,4.8,30.0,5.0,16.0,2.7,0.0,9.0,1.6%,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,18.0,TE
Kenny Yeboah (NYJ),5.0,2.0,28,14.0,8.0,4.0,19,9.5,20.0,10.0,7.0,3.5,1.0,4.0,0.7%,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,TE
Greg Dulcich (DEN),2.0,3.0,25,8.3,20.0,6.7,23,7.7,5.0,1.7,0.0,0.0,0.0,4.0,0.8%,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,TE
Nate Adkins (DEN),10.0,4.0,22,5.5,-2.0,-0.5,-5,-1.3,24.0,6.0,5.0,1.3,0.0,5.0,1.0%,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,TE
Chris Manhertz (NYG),16.0,2.0,16,8.0,6.0,3.0,12,6.0,10.0,5.0,4.0,2.0,0.0,4.0,0.8%,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,TE
Eric Saubert (SF),8.0,3.0,12,4.0,6.0,2.0,6,2.0,6.0,2.0,1.0,0.3,0.0,3.0,0.5%,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TE
,,,,,,,,,,,,,,,,,,,,,,,,,TE
,,,,,,,,,,,,,,,,,,,,,,,,,TE
